"","Address","Type","Color","ExtendedType"
"453","73681335","NEGATIVE","Maroon","Negative 245"
"454","73690339","NEGATIVE","RED","Negative 1171"
"455","73741497","NEGATIVE","RED","Negative 1280"
"456","73789449","NEGATIVE","Khaki","Negative 552"
"457","73794328","NEGATIVE","Blue","Negative 21"
"458","74669430","NEGATIVE","RED","Negative 1147"
"459","74684431","NEGATIVE","Navy","Negative 320"
"460","74725387","NEGATIVE","RED","Negative 1085"
"461","74737439","NEGATIVE","Maroon","Negative 5"
"462","74748483","NEGATIVE","Gray","Negative 242"
"463","74787491","NEGATIVE","Khaki","Negative 402"
"464","74789410","NEGATIVE","RED","Negative 1133"
"465","41636384","RESTORATION","Green","Restore"
"466","10714330","NORM_T","Purple","Norm_T46"
"467","10804473","NORM_G","Blue","Norm_G22"
"468","11641439","NORM_T","Purple","Norm_T2"
"469","11651448","NORM_C","Green","Norm_C34"
"470","11718309","NORM_A","Red","Norm_A25"
"471","11739368","NORM_C","Green","Norm_C54"
"472","11742370","NORM_T","Purple","Norm_T8"
"473","11749491","NORM_T","Purple","Norm_T54"
"474","11758414","NORM_T","Purple","Norm_T11"
"475","12606314","NORM_C","Green","Norm_C35"
"476","12713402","NORM_T","Purple","Norm_T31"
"477","13742412","NORM_T","Purple","Norm_T61"
"478","14656336","NORM_T","Purple","Norm_T58"
"479","14669466","NORM_C","Green","Norm_C46"
"480","15639322","NORM_A","Red","Norm_A5"
"481","15642403","NORM_G","Blue","Norm_G24"
"482","15681421","NORM_T","Purple","Norm_T40"
"483","15681446","NORM_T","Purple","Norm_T16"
"484","15733328","NORM_G","Blue","Norm_G16"
"485","15747446","NORM_A","Red","Norm_A22"
"486","15751492","NORM_C","Green","Norm_C31"
"487","15754447","NORM_T","Purple","Norm_T42"
"488","16690480","NORM_G","Blue","Norm_G9"
"489","16723352","NORM_A","Red","Norm_A15"
"490","16739368","NORM_C","Green","Norm_C10"
"491","17630478","NORM_A","Red","Norm_A4"
"492","17719492","NORM_C","Green","Norm_C24"
"493","17801437","NORM_C","Green","Norm_C27"
"494","18654457","NORM_A","Red","Norm_A7"
"495","18658347","NORM_G","Blue","Norm_G26"
"496","18733503","NORM_G","Blue","Norm_G1"
"497","19695407","NORM_T","Purple","Norm_T27"
"498","20651487","NORM_T","Purple","Norm_T47"
