"","Address","Type","Color","ExtendedType"
"206","36675490","NEGATIVE","Gold","Negative 41"
"207","36688342","NEGATIVE","Brown","Negative 364"
"208","36723508","NEGATIVE","Orchid","Negative 178"
"209","36724435","NEGATIVE","RED","Negative 1293"
"210","36729435","NEGATIVE","RED","Negative 1720"
"211","36759384","NEGATIVE","Purple","Negative 325"
"212","36773429","NEGATIVE","RED","Negative 1173"
"213","36781404","NEGATIVE","Gray","Negative 392"
"214","36803355","NEGATIVE","BlueViolet","Negative 562"
"215","36810406","NEGATIVE","RED","Negative 1295"
"216","37601420","NEGATIVE","Teal","Negative 316"
"217","37619381","NEGATIVE","RED","Negative 1229"
"218","37639436","NEGATIVE","Olive","Negative 13"
"219","37706335","NEGATIVE","Khaki","Negative 312"
"220","37710397","NEGATIVE","-99","Negative 605"
"221","37727355","NEGATIVE","Sienna","Negative 338"
"222","37767334","NEGATIVE","BlueViolet","Negative 382"
"223","38646418","NEGATIVE","Red","Negative 121"
"224","38694476","NEGATIVE","Pink","Negative 60"
"225","38707323","NEGATIVE","Sienna","Negative 308"
"226","38712342","NEGATIVE","Brown","Negative 424"
"227","39698315","NEGATIVE","RED","Negative 1120"
"228","39712371","NEGATIVE","RED","Negative 1228"
"229","39736424","NEGATIVE","Gold","Negative 311"
"230","39781461","NEGATIVE","RED","Negative 1214"
"231","40619329","NEGATIVE","Lime","Negative 315"
"232","40629493","NEGATIVE","Plum","Negative 396"
"233","40713496","NEGATIVE","-99","Negative 607"
"234","40718477","NEGATIVE","Aqua","Negative 197"
"235","40719345","NEGATIVE","RED","Negative 1320"
"236","40747444","NEGATIVE","Navy","Negative 500"
"237","40757376","NEGATIVE","Khaki","Negative 132"
"238","40772413","NEGATIVE","Purple","Negative 235"
"239","40807480","NEGATIVE","Crimson","Negative 449"
"240","41655506","NEGATIVE","Purple","Negative 415"
"241","41745324","NEGATIVE","RED","Negative 955"
"242","41746382","NEGATIVE","Brown","Negative 124"
"243","41802497","NEGATIVE","Lime","Negative 285"
"244","42643451","NEGATIVE","Indigo","Negative 533"
"245","42651423","NEGATIVE","RED","Negative 1074"
"246","42679493","NEGATIVE","RED","Negative 958"
"247","42751432","NEGATIVE","Lavender","Negative 79"
"248","42757388","NEGATIVE","RED","Negative 1073"
"249","42767478","NEGATIVE","RED","Negative 1063"
"250","42768497","NEGATIVE","Aqua","Negative 557"
"251","42782434","NEGATIVE","RED","Negative 960"
"252","42792342","NEGATIVE","Indigo","Negative 323"
"253","43605442","NEGATIVE","RED","Negative 1719"
"254","43614493","NEGATIVE","RED","Negative 1177"
"255","43647329","NEGATIVE","RED","Negative 1241"
"256","43648499","NEGATIVE","RED","Negative 1273"
"257","43653368","NEGATIVE","RED","Negative 1195"
"258","43700387","NEGATIVE","Cyan","Negative 378"
"259","43704397","NEGATIVE","Yellow","Negative 254"
"260","43810396","NEGATIVE","RED","Negative 1121"
"261","44618314","NEGATIVE","Tan","Negative 549"
"262","44623355","NEGATIVE","Maroon","Negative 365"
"263","44668434","NEGATIVE","RED","Negative 1092"
"264","44684348","NEGATIVE","Gray","Negative 122"
"265","44710434","NEGATIVE","RED","Negative 1253"
"266","44715410","NEGATIVE","Pink","Negative 360"
"267","44746458","NEGATIVE","Pink","Negative 450"
"268","44760439","NEGATIVE","BlueViolet","Negative 592"
"269","44767440","NEGATIVE","Violet","Negative 24"
"270","44809397","NEGATIVE","Violet","Negative 84"
"271","46635484","NEGATIVE","Teal","Negative 526"
"272","46647425","NEGATIVE","Orange","Negative 310"
"273","46784419","NEGATIVE","Crimson","Negative 269"
"274","46804470","NEGATIVE","Coral","Negative 127"
"275","46809455","NEGATIVE","Sienna","Negative 278"
"276","47739456","NEGATIVE","Olive","Negative 433"
"277","48623411","NEGATIVE","Fuchsia","Negative 117"
"278","48639474","NEGATIVE","Yellow","Negative 464"
"279","48681497","NEGATIVE","Indigo","Negative 263"
"280","48691496","NEGATIVE","Olive","Negative 133"
"281","48730356","NEGATIVE","Teal","Negative 496"
"282","48734451","NEGATIVE","RED","Negative 1334"
"283","48745401","NEGATIVE","RED","Negative 1257"
"284","48759321","NEGATIVE","Lavender","Negative 259"
"285","48790370","NEGATIVE","BlueViolet","Negative 142"
"286","48796393","NEGATIVE","BlueViolet","Negative 52"
"287","48803364","NEGATIVE","Plum","Negative 216"
"288","49658386","NEGATIVE","Orange","Negative 520"
"289","49669412","NEGATIVE","Red","Negative 451"
"290","49680446","NEGATIVE","Plum","Negative 486"
"291","49682447","NEGATIVE","RED","Negative 1243"
"292","49700377","NEGATIVE","Coral","Negative 577"
"293","50636432","NEGATIVE","Purple","Negative 565"
"294","50682301","NEGATIVE","Khaki","Negative 282"
"295","50698313","NEGATIVE","Gold","Negative 131"
"296","50750423","NEGATIVE","RED","Negative 1283"
"297","51609389","NEGATIVE","Coral","Negative 217"
"298","51617379","NEGATIVE","Maroon","Negative 515"
"299","51623426","NEGATIVE","RED","Negative 1272"
"300","51630461","NEGATIVE","Orange","Negative 130"
"301","51649417","NEGATIVE","Violet","Negative 114"
"302","51654304","NEGATIVE","Lime","Negative 105"
"303","51703475","NEGATIVE","RED","Negative 1116"
"304","51757484","NEGATIVE","RED","Negative 1309"
"305","51764357","NEGATIVE","Gold","Negative 371"
"306","51807349","NEGATIVE","Magenta","Negative 116"
"307","52665450","NEGATIVE","Cyan","Negative 588"
"308","52677505","NEGATIVE","Gray","Negative 512"
"309","52685510","NEGATIVE","Tan","Negative 309"
"310","52773311","NEGATIVE","Tan","Negative 39"
"311","53732484","NEGATIVE","Yellow","Negative 104"
"312","53743425","NEGATIVE","Violet","Negative 354"
"313","53798451","NEGATIVE","Yellow","Negative 194"
"314","53800404","NEGATIVE","RED","Negative 1050"
"315","54602452","NEGATIVE","Gray","Negative 212"
"316","54620498","NEGATIVE","Pink","Negative 300"
"317","54623464","NEGATIVE","Coral","Negative 397"
"318","54647418","NEGATIVE","Coral","Negative 7"
"319","54655320","NEGATIVE","Lime","Negative 255"
"320","54660350","NEGATIVE","Pink","Negative 210"
"321","54684414","NEGATIVE","Olive","Negative 283"
"322","54739456","NEGATIVE","RED","Negative 1109"
"323","55605345","NEGATIVE","RED","Negative 1061"
"324","55644371","NEGATIVE","Yellow","Negative 314"
"325","55656348","NEGATIVE","RED","Negative 1158"
"326","55659383","NEGATIVE","Sienna","Negative 248"
"327","55673311","NEGATIVE","Khaki","Negative 492"
"328","55687425","NEGATIVE","Brown","Negative 154"
"329","55716389","NEGATIVE","Brown","Negative 244"
"330","55734437","NEGATIVE","RED","Negative 1152"
"331","55765450","NEGATIVE","Plum","Negative 426"
"332","55773381","NEGATIVE","RED","Negative 1274"
